Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Sequential,00,0.2544,1.6575,0.4791,0.4779,0.4777
flickr,Sequential,01,0.3426,1.5114,0.4998,0.4947,0.4972
flickr,Sequential,02,0.4257,1.4578,0.5079,0.5008,0.5038
flickr,Sequential,03,0.5075,1.4271,0.5142,0.5013,0.5058
flickr,Sequential,04,0.5895,1.4035,0.5183,0.5030,0.5069
flickr,Sequential,05,0.6702,1.3844,0.5209,0.5048,0.5058
flickr,Sequential,06,0.7521,1.3670,0.5235,0.5045,0.5057
flickr,Sequential,07,0.8331,1.3491,0.5267,0.5051,0.5044
flickr,Sequential,08,0.9151,1.3332,0.5286,0.5045,0.5043
flickr,Sequential,09,0.9974,1.3167,0.5333,0.5030,0.5021
flickr,Sequential,10,1.0794,1.2981,0.5357,0.5011,0.5021
flickr,Sequential,11,1.1602,1.2827,0.5396,0.4995,0.4993
flickr,Sequential,12,1.2414,1.2658,0.5427,0.4988,0.4986
flickr,Sequential,13,1.3234,1.2489,0.5488,0.4971,0.4967
flickr,Sequential,14,1.4058,1.2301,0.5507,0.4948,0.4970
flickr,Sequential,15,1.4871,1.2126,0.5571,0.4919,0.4939
flickr,Sequential,16,1.5693,1.1953,0.5550,0.4891,0.4922
flickr,Sequential,17,1.6500,1.1789,0.5648,0.4879,0.4902
flickr,Sequential,18,1.7324,1.1639,0.5705,0.4891,0.4906
flickr,Sequential,19,1.8143,1.1466,0.5730,0.4875,0.4885
flickr,Sequential,20,1.8971,1.1295,0.5790,0.4851,0.4876
flickr,Sequential,21,1.9778,1.1115,0.5800,0.4831,0.4858
flickr,Sequential,22,2.0607,1.0938,0.5901,0.4815,0.4810
flickr,Sequential,23,2.1424,1.0771,0.5948,0.4811,0.4820
flickr,Sequential,24,2.2248,1.0574,0.5999,0.4799,0.4815
flickr,Sequential,25,2.3056,1.0384,0.6058,0.4784,0.4794
flickr,Sequential,26,2.3886,1.0199,0.6128,0.4774,0.4782
flickr,Sequential,27,2.4700,1.0007,0.6176,0.4729,0.4769
flickr,Sequential,28,2.5523,0.9837,0.6225,0.4742,0.4756
flickr,Sequential,29,2.6345,0.9643,0.6224,0.4708,0.4722
flickr,Sequential,30,2.7174,0.9492,0.6328,0.4689,0.4692
flickr,Sequential,31,2.7981,0.9271,0.6403,0.4665,0.4662
flickr,Sequential,32,2.8796,0.9076,0.6507,0.4631,0.4648
flickr,Sequential,33,2.9619,0.8878,0.6560,0.4582,0.4602
flickr,Sequential,34,3.0444,0.8719,0.6586,0.4576,0.4576
flickr,Sequential,35,3.1276,0.8578,0.6649,0.4589,0.4578
flickr,Sequential,36,3.2111,0.8363,0.6727,0.4563,0.4590
