Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Sequential,00,0.1464,3.0440,0.2728,0.2915,0.2640
ogbn-arxiv,Sequential,01,0.2308,2.4426,0.3920,0.4245,0.4208
ogbn-arxiv,Sequential,02,0.3115,1.9826,0.4986,0.5368,0.5416
ogbn-arxiv,Sequential,03,0.3901,1.7052,0.5554,0.5838,0.5834
ogbn-arxiv,Sequential,04,0.4660,1.5429,0.5869,0.6098,0.6070
ogbn-arxiv,Sequential,05,0.5413,1.4454,0.6013,0.6200,0.6191
ogbn-arxiv,Sequential,06,0.6171,1.3820,0.6137,0.6290,0.6276
ogbn-arxiv,Sequential,07,0.6918,1.3372,0.6226,0.6354,0.6329
ogbn-arxiv,Sequential,08,0.7678,1.3015,0.6304,0.6409,0.6384
ogbn-arxiv,Sequential,09,0.8427,1.2759,0.6364,0.6466,0.6425
ogbn-arxiv,Sequential,10,0.9184,1.2546,0.6417,0.6505,0.6455
ogbn-arxiv,Sequential,11,0.9941,1.2367,0.6461,0.6547,0.6504
ogbn-arxiv,Sequential,12,1.0707,1.2214,0.6500,0.6568,0.6536
ogbn-arxiv,Sequential,13,1.1468,1.2098,0.6533,0.6596,0.6547
ogbn-arxiv,Sequential,14,1.2236,1.1973,0.6561,0.6613,0.6574
ogbn-arxiv,Sequential,15,1.2995,1.1870,0.6592,0.6640,0.6599
ogbn-arxiv,Sequential,16,1.3735,1.1768,0.6614,0.6664,0.6616
ogbn-arxiv,Sequential,17,1.4501,1.1676,0.6636,0.6687,0.6630
ogbn-arxiv,Sequential,18,1.5270,1.1591,0.6650,0.6709,0.6635
ogbn-arxiv,Sequential,19,1.6036,1.1499,0.6670,0.6723,0.6649
ogbn-arxiv,Sequential,20,1.6805,1.1428,0.6692,0.6738,0.6667
ogbn-arxiv,Sequential,21,1.7571,1.1369,0.6705,0.6751,0.6673
ogbn-arxiv,Sequential,22,1.8335,1.1287,0.6719,0.6764,0.6699
ogbn-arxiv,Sequential,23,1.9100,1.1218,0.6736,0.6773,0.6708
ogbn-arxiv,Sequential,24,1.9867,1.1158,0.6749,0.6783,0.6706
ogbn-arxiv,Sequential,25,2.0603,1.1099,0.6762,0.6783,0.6720
ogbn-arxiv,Sequential,26,2.1366,1.1048,0.6775,0.6804,0.6732
ogbn-arxiv,Sequential,27,2.2130,1.0990,0.6791,0.6806,0.6737
ogbn-arxiv,Sequential,28,2.2895,1.0936,0.6798,0.6817,0.6752
ogbn-arxiv,Sequential,29,2.3663,1.0889,0.6811,0.6829,0.6754
ogbn-arxiv,Sequential,30,2.4428,1.0839,0.6821,0.6830,0.6774
ogbn-arxiv,Sequential,31,2.5194,1.0794,0.6832,0.6838,0.6758
ogbn-arxiv,Sequential,32,2.5961,1.0748,0.6844,0.6842,0.6776
ogbn-arxiv,Sequential,33,2.6723,1.0716,0.6854,0.6848,0.6782
ogbn-arxiv,Sequential,34,2.7481,1.0670,0.6860,0.6857,0.6783
ogbn-arxiv,Sequential,35,2.8243,1.0626,0.6871,0.6863,0.6797
ogbn-arxiv,Sequential,36,2.9002,1.0588,0.6877,0.6873,0.6809
ogbn-arxiv,Sequential,37,2.9764,1.0558,0.6884,0.6872,0.6817
ogbn-arxiv,Sequential,38,3.0531,1.0529,0.6895,0.6883,0.6827
ogbn-arxiv,Sequential,39,3.1290,1.0481,0.6899,0.6887,0.6825
ogbn-arxiv,Sequential,40,3.2039,1.0453,0.6909,0.6887,0.6820
ogbn-arxiv,Sequential,41,3.2800,1.0416,0.6917,0.6890,0.6818
ogbn-arxiv,Sequential,42,3.3561,1.0383,0.6926,0.6895,0.6834
ogbn-arxiv,Sequential,43,3.4321,1.0349,0.6932,0.6903,0.6824
ogbn-arxiv,Sequential,44,3.5086,1.0323,0.6941,0.6898,0.6833
ogbn-arxiv,Sequential,45,3.5849,1.0283,0.6947,0.6897,0.6824
ogbn-arxiv,Sequential,46,3.6615,1.0254,0.6954,0.6900,0.6834
ogbn-arxiv,Sequential,47,3.7380,1.0223,0.6959,0.6903,0.6843
ogbn-arxiv,Sequential,48,3.8144,1.0188,0.6965,0.6911,0.6848
ogbn-arxiv,Sequential,49,3.8901,1.0172,0.6971,0.6924,0.6851
ogbn-arxiv,Simulation-2,00,0.1440,3.2531,0.2560,0.2547,0.2325
ogbn-arxiv,Simulation-2,01,0.2217,2.8040,0.2793,0.2999,0.2701
ogbn-arxiv,Simulation-2,02,0.2943,2.5423,0.3129,0.3319,0.3103
ogbn-arxiv,Simulation-2,03,0.3657,2.2702,0.4032,0.4393,0.4381
