Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Sequential,00,0.1893,3.0209,0.2759,0.2944,0.2657
ogbn-arxiv,Sequential,01,0.3333,2.3965,0.4179,0.4444,0.4362
ogbn-arxiv,Sequential,02,0.4772,1.9506,0.5060,0.5440,0.5452
ogbn-arxiv,Sequential,03,0.6213,1.6967,0.5571,0.5842,0.5842
ogbn-arxiv,Sequential,04,0.7651,1.5456,0.5859,0.6070,0.6045
ogbn-arxiv,Sequential,05,0.9091,1.4523,0.5999,0.6189,0.6164
ogbn-arxiv,Sequential,06,1.0530,1.3937,0.6109,0.6268,0.6254
ogbn-arxiv,Sequential,07,1.1969,1.3501,0.6195,0.6319,0.6295
ogbn-arxiv,Sequential,08,1.3407,1.3169,0.6262,0.6379,0.6359
ogbn-arxiv,Sequential,09,1.4848,1.2902,0.6323,0.6430,0.6404
ogbn-arxiv,Sequential,10,1.6287,1.2670,0.6368,0.6462,0.6427
ogbn-arxiv,Sequential,11,1.7726,1.2473,0.6430,0.6517,0.6483
ogbn-arxiv,Sequential,12,1.9165,1.2300,0.6469,0.6545,0.6503
ogbn-arxiv,Sequential,13,2.0603,1.2150,0.6508,0.6578,0.6542
ogbn-arxiv,Sequential,14,2.2042,1.2014,0.6540,0.6594,0.6555
ogbn-arxiv,Sequential,15,2.3482,1.1901,0.6575,0.6621,0.6568
ogbn-arxiv,Sequential,16,2.4921,1.1803,0.6606,0.6644,0.6592
ogbn-arxiv,Sequential,17,2.6359,1.1687,0.6625,0.6663,0.6616
ogbn-arxiv,Sequential,18,2.7799,1.1609,0.6653,0.6682,0.6626
ogbn-arxiv,Sequential,19,2.9238,1.1522,0.6664,0.6702,0.6634
ogbn-arxiv,Sequential,20,3.0679,1.1450,0.6685,0.6724,0.6654
ogbn-arxiv,Sequential,21,3.2118,1.1370,0.6702,0.6732,0.6673
ogbn-arxiv,Sequential,22,3.3558,1.1302,0.6718,0.6750,0.6670
ogbn-arxiv,Sequential,23,3.4998,1.1238,0.6739,0.6757,0.6685
ogbn-arxiv,Sequential,24,3.6438,1.1163,0.6751,0.6770,0.6700
ogbn-arxiv,Sequential,25,3.7878,1.1108,0.6768,0.6785,0.6718
ogbn-arxiv,Sequential,26,3.9319,1.1051,0.6782,0.6796,0.6726
ogbn-arxiv,Sequential,27,4.0757,1.0998,0.6793,0.6809,0.6734
ogbn-arxiv,Sequential,28,4.2198,1.0941,0.6802,0.6815,0.6734
ogbn-arxiv,Sequential,29,4.3637,1.0892,0.6811,0.6824,0.6746
ogbn-arxiv,Sequential,30,4.5076,1.0831,0.6820,0.6833,0.6748
ogbn-arxiv,Sequential,31,4.6516,1.0796,0.6833,0.6837,0.6748
ogbn-arxiv,Sequential,32,4.8025,1.0761,0.6842,0.6847,0.6757
