Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Sequential,00,0.6535,1.6338,0.4797,0.4797,0.4756
flickr,Sequential,01,0.8332,1.4910,0.5026,0.4968,0.4952
flickr,Sequential,02,1.0112,1.4392,0.5121,0.5014,0.4992
flickr,Sequential,03,1.1892,1.4061,0.5180,0.5039,0.5030
flickr,Sequential,04,1.3671,1.3821,0.5216,0.5040,0.5041
flickr,Sequential,05,1.5450,1.3609,0.5267,0.5039,0.5037
flickr,Sequential,06,1.7228,1.3413,0.5279,0.5020,0.5042
flickr,Sequential,07,1.9007,1.3237,0.5324,0.5029,0.5024
flickr,Sequential,08,2.0785,1.3064,0.5364,0.5005,0.5028
flickr,Sequential,09,2.2563,1.2866,0.5397,0.5009,0.5015
flickr,Sequential,10,2.4341,1.2675,0.5449,0.4993,0.4993
flickr,Sequential,11,2.6121,1.2475,0.5440,0.4965,0.4965
flickr,Sequential,12,2.7901,1.2261,0.5519,0.4961,0.4968
flickr,Sequential,13,2.9681,1.2022,0.5577,0.4955,0.4950
flickr,Sequential,14,3.1460,1.1829,0.5632,0.4909,0.4926
flickr,Sequential,15,3.3239,1.1611,0.5707,0.4905,0.4900
flickr,Sequential,16,3.5018,1.1403,0.5744,0.4881,0.4869
flickr,Sequential,17,3.6798,1.1175,0.5793,0.4865,0.4863
flickr,Sequential,18,3.8578,1.0992,0.5881,0.4817,0.4814
flickr,Sequential,19,4.0359,1.0786,0.5899,0.4849,0.4843
flickr,Sequential,20,4.2139,1.0600,0.5958,0.4834,0.4829
flickr,Sequential,21,4.3919,1.0379,0.6045,0.4815,0.4814
flickr,Sequential,22,4.5700,1.0199,0.6036,0.4761,0.4801
flickr,Sequential,23,4.7481,1.0011,0.6183,0.4769,0.4803
flickr,Sequential,24,4.9261,0.9820,0.6206,0.4716,0.4770
flickr,Sequential,25,5.1042,0.9632,0.6292,0.4679,0.4740
flickr,Sequential,26,5.2822,0.9486,0.6327,0.4658,0.4688
flickr,Sequential,27,5.4603,0.9283,0.6376,0.4678,0.4706
flickr,Sequential,28,5.6388,0.9119,0.6417,0.4566,0.4603
flickr,Sequential,29,5.8174,0.8945,0.6457,0.4530,0.4576
flickr,Sequential,30,5.9959,0.8830,0.6547,0.4563,0.4609
flickr,Sequential,31,6.1745,0.8669,0.6617,0.4549,0.4585
flickr,Sequential,32,6.3531,0.8534,0.6655,0.4531,0.4553
flickr,Sequential,33,6.5316,0.8423,0.6619,0.4594,0.4587
flickr,Sequential,34,6.7102,0.8244,0.6644,0.4552,0.4560
flickr,Sequential,35,6.8887,0.8092,0.6709,0.4550,0.4577
flickr,Sequential,36,7.0672,0.7941,0.6774,0.4492,0.4478
flickr,Sequential,37,7.2457,0.7805,0.6736,0.4503,0.4525
flickr,Sequential,38,7.4244,0.7672,0.6891,0.4502,0.4496
flickr,Sequential,39,7.6030,0.7553,0.6914,0.4485,0.4497
flickr,Sequential,40,7.7816,0.7428,0.6977,0.4497,0.4501
flickr,Sequential,41,7.9602,0.7298,0.6992,0.4487,0.4491
flickr,Sequential,42,8.1387,0.7196,0.7047,0.4451,0.4455
flickr,Sequential,43,8.3172,0.7097,0.7047,0.4507,0.4521
flickr,Sequential,44,8.4959,0.6979,0.7099,0.4473,0.4481
flickr,Sequential,45,8.6746,0.6864,0.7127,0.4456,0.4451
flickr,Sequential,46,8.8533,0.6767,0.7142,0.4378,0.4400
flickr,Sequential,47,9.0321,0.6659,0.7252,0.4407,0.4428
flickr,Sequential,48,9.2106,0.6584,0.7253,0.4406,0.4404
flickr,Sequential,49,9.3891,0.6453,0.7361,0.4366,0.4382
flickr,Simulation-2,00,0.2971,1.6882,0.4503,0.4486,0.4503
flickr,Simulation-2,01,0.4538,1.5697,0.4717,0.4678,0.4704
flickr,Simulation-2,02,0.5999,1.5289,0.4856,0.4803,0.4814
flickr,Simulation-2,03,0.7462,1.4961,0.4942,0.4893,0.4892
flickr,Simulation-2,04,0.8925,1.4696,0.5010,0.4950,0.4915
flickr,Simulation-2,05,1.0386,1.4475,0.5068,0.4976,0.4968
flickr,Simulation-2,06,1.1847,1.4305,0.5089,0.4989,0.4980
flickr,Simulation-2,07,1.3308,1.4151,0.5134,0.5012,0.5002
flickr,Simulation-2,08,1.4769,1.4015,0.5159,0.5022,0.5015
flickr,Simulation-2,09,1.6230,1.3872,0.5194,0.5030,0.5025
flickr,Simulation-2,10,1.7692,1.3726,0.5216,0.5018,0.5016
flickr,Simulation-2,11,1.9152,1.3617,0.5218,0.5001,0.4991
flickr,Simulation-2,12,2.0612,1.3481,0.5254,0.4993,0.4981
flickr,Simulation-2,13,2.2072,1.3374,0.5263,0.4965,0.4981
flickr,Simulation-2,14,2.3535,1.3247,0.5282,0.4957,0.4976
flickr,Simulation-2,15,2.4996,1.3147,0.5326,0.4955,0.4968
flickr,Simulation-2,16,2.6458,1.3023,0.5362,0.4955,0.4962
flickr,Simulation-2,17,2.7920,1.2900,0.5351,0.4935,0.4955
flickr,Simulation-2,18,2.9380,1.2805,0.5389,0.4913,0.4950
flickr,Simulation-2,19,3.0841,1.2682,0.5438,0.4887,0.4940
flickr,Simulation-2,20,3.2302,1.2582,0.5445,0.4873,0.4933
flickr,Simulation-2,21,3.3765,1.2455,0.5483,0.4879,0.4922
flickr,Simulation-2,22,3.5225,1.2355,0.5524,0.4849,0.4907
flickr,Simulation-2,23,3.6684,1.2239,0.5526,0.4836,0.4906
flickr,Simulation-2,24,3.8145,1.2159,0.5575,0.4832,0.4907
flickr,Simulation-2,25,3.9605,1.2071,0.5557,0.4824,0.4881
flickr,Simulation-2,26,4.1066,1.1985,0.5603,0.4827,0.4887
flickr,Simulation-2,27,4.2525,1.1863,0.5643,0.4786,0.4874
flickr,Simulation-2,28,4.3984,1.1782,0.5693,0.4788,0.4868
flickr,Simulation-2,29,4.5443,1.1663,0.5721,0.4777,0.4857
