Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-products,Sequential,00,0.2864,2.8122,0.5467,0.5489,0.4335
ogbn-products,Sequential,01,0.3560,1.6209,0.7478,0.7380,0.5748
ogbn-products,Sequential,02,0.4264,1.1929,0.7993,0.7903,0.6215
ogbn-products,Sequential,03,0.4969,1.0030,0.8235,0.8161,0.6476
ogbn-products,Sequential,04,0.5708,0.8980,0.8370,0.8298,0.6642
ogbn-products,Sequential,05,0.6380,0.8361,0.8466,0.8387,0.6749
ogbn-products,Sequential,06,0.7074,0.7939,0.8525,0.8454,0.6828
ogbn-products,Sequential,07,0.7746,0.7574,0.8568,0.8495,0.6876
ogbn-products,Sequential,08,0.8437,0.7335,0.8602,0.8530,0.6921
ogbn-products,Sequential,09,0.9098,0.7105,0.8633,0.8563,0.6960
ogbn-products,Sequential,10,0.9768,0.6888,0.8659,0.8586,0.6986
ogbn-products,Sequential,11,1.0459,0.6750,0.8684,0.8609,0.7013
ogbn-products,Sequential,12,1.1153,0.6577,0.8704,0.8627,0.7038
ogbn-products,Sequential,13,1.1810,0.6434,0.8724,0.8650,0.7068
ogbn-products,Sequential,14,1.2474,0.6315,0.8732,0.8663,0.7081
ogbn-products,Sequential,15,1.3160,0.6201,0.8748,0.8677,0.7100
ogbn-products,Sequential,16,1.3822,0.6107,0.8764,0.8692,0.7119
ogbn-products,Sequential,17,1.4511,0.5977,0.8776,0.8698,0.7131
ogbn-products,Sequential,18,1.5348,0.5906,0.8783,0.8703,0.7147
ogbn-products,Sequential,19,1.6053,0.5808,0.8796,0.8712,0.7163
ogbn-products,Sequential,20,1.6757,0.5710,0.8805,0.8726,0.7186
ogbn-products,Sequential,21,1.7455,0.5634,0.8811,0.8732,0.7183
ogbn-products,Sequential,22,1.8155,0.5603,0.8816,0.8733,0.7209
ogbn-products,Sequential,23,1.8857,0.5504,0.8822,0.8746,0.7209
ogbn-products,Sequential,24,1.9560,0.5433,0.8828,0.8750,0.7219
ogbn-products,Sequential,25,2.0261,0.5372,0.8834,0.8754,0.7224
ogbn-products,Sequential,26,2.0962,0.5295,0.8841,0.8758,0.7230
ogbn-products,Sequential,27,2.1635,0.5246,0.8849,0.8763,0.7243
ogbn-products,Sequential,28,2.2340,0.5151,0.8853,0.8771,0.7254
ogbn-products,Sequential,29,2.3025,0.5126,0.8856,0.8775,0.7253
ogbn-products,Sequential,30,2.3728,0.5048,0.8861,0.8778,0.7241
ogbn-products,Sequential,31,2.4430,0.5022,0.8865,0.8783,0.7259
ogbn-products,Sequential,32,2.5136,0.4936,0.8873,0.8785,0.7267
ogbn-products,Sequential,33,2.5833,0.4893,0.8873,0.8787,0.7276
ogbn-products,Sequential,34,2.6541,0.4861,0.8877,0.8793,0.7266
ogbn-products,Sequential,35,2.7239,0.4806,0.8880,0.8796,0.7289
ogbn-products,Sequential,36,2.7940,0.4757,0.8885,0.8802,0.7295
ogbn-products,Sequential,37,2.8644,0.4718,0.8892,0.8804,0.7299
ogbn-products,Sequential,38,2.9343,0.4681,0.8891,0.8803,0.7308
ogbn-products,Sequential,39,3.0030,0.4635,0.8894,0.8808,0.7311
ogbn-products,Sequential,40,3.0727,0.4624,0.8892,0.8811,0.7307
ogbn-products,Sequential,41,3.1405,0.4592,0.8896,0.8812,0.7310
ogbn-products,Sequential,42,3.2111,0.4527,0.8898,0.8818,0.7321
ogbn-products,Sequential,43,3.2813,0.4508,0.8899,0.8817,0.7306
