Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Sequential,00,0.4347,1.6473,0.4690,0.4650,0.4673
flickr,Sequential,01,1.0066,1.5110,0.4920,0.4867,0.4868
flickr,Sequential,02,1.5716,1.4575,0.5025,0.4948,0.4958
flickr,Sequential,03,2.1382,1.4254,0.5124,0.4971,0.5011
flickr,Sequential,04,2.7053,1.4078,0.5165,0.4998,0.5045
flickr,Sequential,05,3.2726,1.3881,0.5182,0.4991,0.5006
flickr,Sequential,06,3.8407,1.3737,0.5235,0.5003,0.5027
flickr,Sequential,07,4.4084,1.3603,0.5280,0.5020,0.5039
flickr,Sequential,08,4.9745,1.3407,0.5309,0.5018,0.5014
flickr,Sequential,09,5.5428,1.3342,0.5332,0.5005,0.5018
flickr,Sequential,10,6.1106,1.3166,0.5359,0.4987,0.4992
flickr,Sequential,11,6.6749,1.3042,0.5378,0.4991,0.5002
flickr,Sequential,12,7.2398,1.2803,0.5439,0.4977,0.5009
flickr,Sequential,13,7.8049,1.2661,0.5523,0.4971,0.5009
flickr,Sequential,14,8.3685,1.2627,0.5554,0.4970,0.4975
flickr,Sequential,15,8.9325,1.2415,0.5603,0.4949,0.4978
flickr,Sequential,16,9.4983,1.2238,0.5580,0.4938,0.4951
flickr,Sequential,17,10.0676,1.2038,0.5686,0.4931,0.4939
flickr,Sequential,18,10.6313,1.1930,0.5808,0.4892,0.4922
flickr,Sequential,19,11.1974,1.1761,0.5814,0.4943,0.4956
flickr,Sequential,20,11.7653,1.1621,0.5888,0.4924,0.4937
flickr,Sequential,21,12.3317,1.1467,0.5999,0.4846,0.4881
flickr,Sequential,22,12.8968,1.1275,0.6025,0.4853,0.4878
flickr,Sequential,23,13.4648,1.1183,0.6023,0.4855,0.4870
flickr,Sequential,24,14.0299,1.0932,0.6129,0.4786,0.4802
flickr,Sequential,25,14.5984,1.0755,0.6224,0.4853,0.4859
flickr,Sequential,26,15.1634,1.0644,0.6314,0.4784,0.4798
flickr,Sequential,27,15.7335,1.0507,0.6385,0.4732,0.4733
flickr,Sequential,28,16.2986,1.0340,0.6450,0.4766,0.4752
flickr,Sequential,29,16.8647,1.0190,0.6465,0.4774,0.4768
flickr,Sequential,30,17.4331,1.0049,0.6600,0.4732,0.4701
flickr,Sequential,31,18.0004,0.9856,0.6610,0.4757,0.4733
flickr,Sequential,32,18.5671,0.9750,0.6712,0.4641,0.4639
flickr,Sequential,33,19.1319,0.9613,0.6800,0.4717,0.4661
flickr,Sequential,34,19.7026,0.9442,0.6754,0.4751,0.4742
flickr,Sequential,35,20.2653,0.9316,0.6852,0.4684,0.4650
flickr,Sequential,36,20.8293,0.9240,0.6907,0.4680,0.4679
flickr,Sequential,37,21.3955,0.9129,0.7043,0.4572,0.4562
flickr,Sequential,38,21.9617,0.9017,0.7032,0.4508,0.4507
flickr,Sequential,39,22.5277,0.8895,0.7156,0.4563,0.4550
flickr,Sequential,40,23.0954,0.8743,0.7159,0.4612,0.4574
flickr,Sequential,41,23.6616,0.8632,0.7158,0.4630,0.4587
flickr,Sequential,42,24.2285,0.8584,0.7218,0.4623,0.4572
flickr,Sequential,43,24.7947,0.8505,0.7306,0.4602,0.4560
flickr,Sequential,44,25.3622,0.8335,0.7372,0.4523,0.4478
flickr,Sequential,45,25.9290,0.8242,0.7363,0.4561,0.4522
flickr,Sequential,46,26.4971,0.8170,0.7371,0.4512,0.4468
flickr,Sequential,47,27.0664,0.8052,0.7462,0.4460,0.4497
