Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Sequential,00,0.4566,3.0423,0.2815,0.3029,0.2746
ogbn-arxiv,Sequential,01,1.2332,2.4043,0.4042,0.4441,0.4417
ogbn-arxiv,Sequential,02,1.9960,1.9794,0.4922,0.5274,0.5310
ogbn-arxiv,Sequential,03,2.7597,1.7475,0.5393,0.5719,0.5737
ogbn-arxiv,Sequential,04,3.5232,1.5972,0.5720,0.5994,0.6003
ogbn-arxiv,Sequential,05,4.2887,1.5002,0.5925,0.6110,0.6034
ogbn-arxiv,Sequential,06,5.0513,1.4262,0.6007,0.6215,0.6220
ogbn-arxiv,Sequential,07,5.8174,1.3877,0.6106,0.6248,0.6205
ogbn-arxiv,Sequential,08,6.5812,1.3513,0.6200,0.6333,0.6326
ogbn-arxiv,Sequential,09,7.3451,1.3231,0.6251,0.6389,0.6380
ogbn-arxiv,Sequential,10,8.1143,1.2953,0.6316,0.6418,0.6371
ogbn-arxiv,Sequential,11,8.8862,1.2887,0.6371,0.6478,0.6434
ogbn-arxiv,Sequential,12,9.6525,1.2611,0.6404,0.6520,0.6483
ogbn-arxiv,Sequential,13,10.4211,1.2439,0.6448,0.6547,0.6534
ogbn-arxiv,Sequential,14,11.1839,1.2292,0.6477,0.6549,0.6483
ogbn-arxiv,Sequential,15,11.9485,1.2123,0.6514,0.6587,0.6565
ogbn-arxiv,Sequential,16,12.7164,1.2097,0.6525,0.6615,0.6575
ogbn-arxiv,Sequential,17,13.4844,1.1964,0.6560,0.6630,0.6586
ogbn-arxiv,Sequential,18,14.2489,1.1986,0.6587,0.6647,0.6613
ogbn-arxiv,Sequential,19,15.0154,1.1837,0.6616,0.6654,0.6566
ogbn-arxiv,Sequential,20,15.7820,1.1787,0.6627,0.6686,0.6635
ogbn-arxiv,Sequential,21,16.5492,1.1672,0.6644,0.6706,0.6666
ogbn-arxiv,Sequential,22,17.3155,1.1598,0.6659,0.6716,0.6679
ogbn-arxiv,Sequential,23,18.0811,1.1652,0.6683,0.6728,0.6699
ogbn-arxiv,Sequential,24,18.8438,1.1488,0.6692,0.6734,0.6652
ogbn-arxiv,Sequential,25,19.6082,1.1481,0.6697,0.6740,0.6692
ogbn-arxiv,Sequential,26,20.3734,1.1483,0.6725,0.6761,0.6680
ogbn-arxiv,Sequential,27,21.1374,1.1326,0.6730,0.6765,0.6708
ogbn-arxiv,Sequential,28,21.9055,1.1345,0.6738,0.6790,0.6739
ogbn-arxiv,Sequential,29,22.6695,1.1300,0.6748,0.6785,0.6743
ogbn-arxiv,Sequential,30,23.4331,1.1225,0.6776,0.6808,0.6765
ogbn-arxiv,Sequential,31,24.1957,1.1195,0.6794,0.6812,0.6722
ogbn-arxiv,Sequential,32,24.9612,1.1185,0.6784,0.6820,0.6750
ogbn-arxiv,Sequential,33,25.7229,1.1085,0.6799,0.6817,0.6752
ogbn-arxiv,Sequential,34,26.4860,1.1149,0.6821,0.6838,0.6781
ogbn-arxiv,Sequential,35,27.2494,1.1057,0.6808,0.6806,0.6714
ogbn-arxiv,Sequential,36,28.0166,1.1100,0.6832,0.6838,0.6741
ogbn-arxiv,Sequential,37,28.7823,1.0927,0.6835,0.6839,0.6755
ogbn-arxiv,Sequential,38,29.5459,1.1025,0.6834,0.6859,0.6796
ogbn-arxiv,Sequential,39,30.3103,1.0971,0.6845,0.6833,0.6780
ogbn-arxiv,Sequential,40,31.0774,1.0874,0.6852,0.6835,0.6755
ogbn-arxiv,Sequential,41,31.8467,1.0884,0.6869,0.6867,0.6809
ogbn-arxiv,Sequential,42,32.6116,1.0830,0.6877,0.6858,0.6766
ogbn-arxiv,Sequential,43,33.3768,1.0757,0.6891,0.6869,0.6790
ogbn-arxiv,Sequential,44,34.1422,1.0805,0.6888,0.6883,0.6812
ogbn-arxiv,Sequential,45,34.9061,1.0735,0.6894,0.6885,0.6810
ogbn-arxiv,Sequential,46,35.6666,1.0742,0.6899,0.6881,0.6835
ogbn-arxiv,Sequential,47,36.4278,1.0740,0.6911,0.6875,0.6806
ogbn-arxiv,Sequential,48,37.1886,1.0725,0.6920,0.6881,0.6786
ogbn-arxiv,Sequential,49,37.9477,1.0696,0.6925,0.6888,0.6808
ogbn-arxiv,Simulation-2,00,0.4244,3.2382,0.1791,0.0763,0.0586
ogbn-arxiv,Simulation-2,01,1.1646,2.8021,0.2818,0.3062,0.2871
ogbn-arxiv,Simulation-2,02,1.9018,2.5273,0.3352,0.3433,0.3238
ogbn-arxiv,Simulation-2,03,2.6381,2.2519,0.4126,0.4397,0.4332
ogbn-arxiv,Simulation-2,04,3.3832,2.0251,0.4633,0.4973,0.4966
ogbn-arxiv,Simulation-2,05,4.1193,1.8705,0.5006,0.5404,0.5444
ogbn-arxiv,Simulation-2,06,4.8552,1.7409,0.5365,0.5691,0.5734
ogbn-arxiv,Simulation-2,07,5.5899,1.6297,0.5571,0.5857,0.5863
ogbn-arxiv,Simulation-2,08,6.3319,1.5673,0.5722,0.5997,0.6023
ogbn-arxiv,Simulation-2,09,7.0837,1.5118,0.5845,0.6088,0.6060
ogbn-arxiv,Simulation-2,10,7.8309,1.4616,0.5923,0.6141,0.6110
ogbn-arxiv,Simulation-2,11,8.5825,1.4282,0.6004,0.6197,0.6190
ogbn-arxiv,Simulation-2,12,9.3293,1.3993,0.6086,0.6253,0.6223
ogbn-arxiv,Simulation-2,13,10.0784,1.3725,0.6117,0.6293,0.6314
ogbn-arxiv,Simulation-2,14,10.8266,1.3608,0.6158,0.6324,0.6337
ogbn-arxiv,Simulation-2,15,11.5756,1.3313,0.6223,0.6352,0.6347
ogbn-arxiv,Simulation-2,16,12.3273,1.3205,0.6262,0.6390,0.6396
